geo_key,locator_type,n_listings,sites,building_name,locality,address,geocode_query_hint,geocode_from_site,geocode_from_listing_id,done
B|godrej royale woods|devanahalli,building,8,99acres,Godrej Royale Woods,Devanahalli,,"Godrej Royale Woods, Devanahalli, Bengaluru",99acres,A90795844,
B|sai brindavan|ananth nagar phase 2,building,1,99acres,Sai Brindavan,Ananth Nagar Phase 2,,"Sai Brindavan, Ananth Nagar Phase 2, Bengaluru",99acres,O91446354,
B|kailasa giri apartment|cv raman nagar,building,1,99acres,Kailasa Giri Apartment,CV Raman Nagar,,"Kailasa Giri Apartment, CV Raman Nagar, Bengaluru",99acres,E91420996,
B|kingston residency|kannur,building,1,99acres,Kingston Residency,Kannur,,"Kingston Residency, Kannur, Bengaluru",99acres,B91413896,
B|elena 5|electronics city phase 1,building,1,99acres,Elena 5,Electronics City Phase 1,,"Elena 5, Electronics City Phase 1, Bengaluru",99acres,O79648501,
B|reliable residency plot|hsr layout,building,1,99acres,Reliable Residency Plot,HSR Layout,,"Reliable Residency Plot, HSR Layout, Bengaluru",99acres,R91366542,
B|bda layoyt hsr layout|sector 7 hsr layout,building,1,99acres,"BDA layoyt, HSR layout",Sector 7 HSR Layout,,"BDA layoyt, HSR layout, Sector 7 HSR Layout, Bengaluru",99acres,H91366092,
B|vaibhav home|whitefield,building,1,99acres,Vaibhav Home,Whitefield,,"Vaibhav Home, Whitefield, Bengaluru",99acres,O91358320,
B|vaibhav home|aecs layout,building,1,99acres,Vaibhav Home,AECS Layout,,"Vaibhav Home, AECS Layout, Bengaluru",99acres,C91358052,
B|sowparnika ashiyana phase 2|whitefield,building,1,99acres,Sowparnika Ashiyana phase 2,Whitefield,,"Sowparnika Ashiyana phase 2, Whitefield, Bengaluru",99acres,G91351504,
B|infant grace apartments|hennur gardens,building,1,99acres,infant grace apartments,Hennur Gardens,,"infant grace apartments, Hennur Gardens, Bengaluru",99acres,N58361232,
B|hk residnecy|neeladri nagar,building,1,99acres,HK residnecy,Neeladri Nagar,,"HK residnecy, Neeladri Nagar, Bengaluru",99acres,W89625634,
B|zero brokerage direct owner|ashraya layout,building,1,99acres,"ZERO BROKERAGE , DIRECT OWNER",Ashraya Layout,,"ZERO BROKERAGE , DIRECT OWNER, Ashraya Layout, Bengaluru",99acres,Y91324018,
B|on request|rachenahalli,building,1,99acres,on request,Rachenahalli,,"on request, Rachenahalli, Bengaluru",99acres,N91323570,
B|royal enclave neeladri nagar|neeladri nagar,building,1,99acres,"Royal enclave, neeladri nagar",Neeladri Nagar,,"Royal enclave, neeladri nagar, Neeladri Nagar, Bengaluru",99acres,T91303132,
B|urban living 1rk homes|marathahalli,building,1,99acres,Urban living 1rk homes,Marathahalli,,"Urban living 1rk homes, Marathahalli, Bengaluru",99acres,M89974300,
B|urban homes|marathahalli,building,1,99acres,Urban Homes,Marathahalli,,"Urban Homes, Marathahalli, Bengaluru",99acres,X89974866,
B|urban living 1rk rooms|whitefield,building,1,99acres,Urban living 1rk rooms,Whitefield,,"Urban living 1rk rooms, Whitefield, Bengaluru",99acres,P89974870,
B|k homes pushpaveni layout kaikondrehalli|sarjapur road,building,1,99acres,k homes pushpaveni layout kaikondrehalli,Sarjapur Road,,"k homes pushpaveni layout kaikondrehalli, Sarjapur Road, Bengaluru",99acres,Y91282136,
B|cs residency|b narayanapura,building,1,99acres,CS Residency,B Narayanapura,,"CS Residency, B Narayanapura, Bengaluru",99acres,A87890456,
B|slv raj driva|prakruthi layout,building,1,99acres,SLV Raj Driva,Prakruthi Layout,,"SLV Raj Driva, Prakruthi Layout, Bengaluru",99acres,D91186934,
B|keerthi nandan residency|jp nagar,building,1,99acres,Keerthi Nandan Residency,JP Nagar,,"Keerthi Nandan Residency, JP Nagar, Bengaluru",99acres,K91221146,
B|sapthagiri vaibhava|kr puram,building,1,99acres,Sapthagiri Vaibhava,KR Puram,,"Sapthagiri Vaibhava, KR Puram, Bengaluru",99acres,G91015052,
B|95 jj residency|kundalahalli,building,1,99acres,95 JJ residency,Kundalahalli,,"95 JJ residency, Kundalahalli, Bengaluru",99acres,V87661004,
B|367 3rd cross girinagar|4th phase girinagar,building,1,99acres,"367,3rd cross, girinagar",4th Phase Girinagar,,"367,3rd cross, girinagar, 4th Phase Girinagar, Bengaluru",99acres,J91157426,
B|eden park at the prestige city|sarjapur,building,1,99acres,Eden Park at The Prestige City,Sarjapur,,"Eden Park at The Prestige City, Sarjapur, Bengaluru",99acres,V91153482,
B|vb apartment|1st phase jp nagar,building,1,99acres,VB APARTMENT,1st Phase JP Nagar,,"VB APARTMENT, 1st Phase JP Nagar, Bengaluru",99acres,I91082944,
B|cpr residency|sarjapur road,building,1,99acres,CPR RESIDENCY,Sarjapur Road,,"CPR RESIDENCY, Sarjapur Road, Bengaluru",99acres,D91105230,
B|elite homes|marathahalli,building,1,99acres,Elite homes,Marathahalli,,"Elite homes, Marathahalli, Bengaluru",99acres,Y91103838,
B|stay homes|marathahalli,building,1,99acres,Stay Homes,Marathahalli,,"Stay Homes, Marathahalli, Bengaluru",99acres,K91102478,
B|mnr|nallurhalli,building,1,99acres,mnr,Nallurhalli,,"mnr, Nallurhalli, Bengaluru",99acres,E84749574,
B|rs homes|aecs layout,building,1,99acres,RS HOMES,AECS Layout,,"RS HOMES, AECS Layout, Bengaluru",99acres,L91094298,
B|happy square|sarvobhogam nagar,building,1,99acres,Happy Square,Sarvobhogam Nagar,,"Happy Square, Sarvobhogam Nagar, Bengaluru",99acres,A91078810,
B|the nest co living|4th block koramangala,building,1,99acres,The Nest - co-living,4th Block Koramangala,,"The Nest - co-living, 4th Block Koramangala, Bengaluru",99acres,M87996384,
B|hk residency|electronics city phase 1,building,1,99acres,HK RESIDENCY,Electronics City Phase 1,,"HK RESIDENCY, Electronics City Phase 1, Bengaluru",99acres,T91024536,
B|cpr|doddakannelli,building,1,99acres,Cpr,Doddakannelli,,"Cpr, Doddakannelli, Bengaluru",99acres,X85166936,
B|zero brokerage direct owner|kodathi,building,1,99acres,"ZERO BROKERAGE , DIRECT OWNER",Kodathi,,"ZERO BROKERAGE , DIRECT OWNER, Kodathi, Bengaluru",99acres,L91018694,
B|csr homes|kundalahalli,building,1,99acres,CSR Homes,Kundalahalli,,"CSR Homes, Kundalahalli, Bengaluru",99acres,P86275302,
B|aditya heights apartments|kodathi,building,1,99acres,Aditya Heights Apartments,Kodathi,,"Aditya Heights Apartments, Kodathi, Bengaluru",99acres,Y90966254,
B|duo residency|jakkur,building,1,99acres,Duo Residency,Jakkur,,"Duo Residency, Jakkur, Bengaluru",99acres,Z90962958,
B|pkstay vi|doddanakundi industrial area 2,building,1,99acres,pkstay vi,Doddanakundi Industrial Area 2,,"pkstay vi, Doddanakundi Industrial Area 2, Bengaluru",99acres,L90950972,
B|gopi homes|pragathi layout,building,1,99acres,gopi homes,Pragathi Layout,,"gopi homes, Pragathi Layout, Bengaluru",99acres,C90865920,
B|skanda|carmelaram,building,1,99acres,skanda,Carmelaram,,"skanda, Carmelaram, Bengaluru",99acres,N88673278,
B|sri venkateshwara luxury colive|vinayak nagar,building,1,99acres,Sri Venkateshwara Luxury Colive,Vinayak Nagar,,"Sri Venkateshwara Luxury Colive, Vinayak Nagar, Bengaluru",99acres,C89646418,
B|infant corporate services|4th block koramangala,building,1,99acres,Infant corporate services,4th Block Koramangala,,"Infant corporate services, 4th Block Koramangala, Bengaluru",99acres,P90926536,
B|ekta living 1rk homes|kadubeesanahalli,building,1,99acres,Ekta Living 1RK Homes,Kadubeesanahalli,,"Ekta Living 1RK Homes, Kadubeesanahalli, Bengaluru",99acres,K90897596,
B|rvs brindavanam homes|munnekollal,building,1,99acres,RVS Brindavanam homes,Munnekollal,,"RVS Brindavanam homes, Munnekollal, Bengaluru",99acres,V90893028,
B|mulakula|ramagondanahalli,building,1,99acres,Mulakula,Ramagondanahalli,,"Mulakula, Ramagondanahalli, Bengaluru",99acres,E86712374,
B|dna anatha layout|nallurhalli,building,1,99acres,DNA ANATHA Layout,Nallurhalli,,"DNA ANATHA Layout, Nallurhalli, Bengaluru",99acres,H84485894,
B|samvruddhi owner s ct|sarjapur road,building,1,99acres,samvruddhi owner's ct,Sarjapur Road,,"samvruddhi owner's ct, Sarjapur Road, Bengaluru",99acres,O84901580,
B|sri subramanya nilayam|nimbekaipura,building,1,99acres,Sri Subramanya nilayam,Nimbekaipura,,"Sri Subramanya nilayam, Nimbekaipura, Bengaluru",99acres,S90813534,
B|samruddi nilaya|krishna layout,building,1,99acres,Samruddi nilaya,Krishna Layout,,"Samruddi nilaya, Krishna Layout, Bengaluru",99acres,P90807032,
B|trishul aahika apartments|munivenkatppa layout,building,1,99acres,Trishul Aahika Apartments,Munivenkatppa Layout,,"Trishul Aahika Apartments, Munivenkatppa Layout, Bengaluru",99acres,V86691170,
B|foyer infinity|pattandur agrahara,building,1,99acres,Foyer Infinity,Pattandur Agrahara,,"Foyer Infinity, Pattandur Agrahara, Bengaluru",99acres,Y90781722,
B|rghcl|electronic city phase 2,building,1,99acres,Rghcl,Electronic City Phase 2,,"Rghcl, Electronic City Phase 2, Bengaluru",99acres,L88334378,
B|suits|karthik nagar,building,1,99acres,SUITS,Karthik Nagar,,"SUITS, Karthik Nagar, Bengaluru",99acres,J90767266,
B|ravi teja enclave|electronic city phase 2,building,1,99acres,Ravi teja enclave,Electronic City Phase 2,,"Ravi teja enclave, Electronic City Phase 2, Bengaluru",99acres,A77901285,
B|born avalon|doddanakundi industrial area 2,building,1,99acres,Born Avalon,Doddanakundi Industrial Area 2,,"Born Avalon, Doddanakundi Industrial Area 2, Bengaluru",99acres,B90740664,
B|21st castle green boulevard|sarjapur,building,1,99acres,21st Castle Green Boulevard,Sarjapur,,"21st Castle Green Boulevard, Sarjapur, Bengaluru",99acres,E90717256,
B|bright homes phase 2 naidu layout|shanthi pura,building,1,99acres,"Bright homes, phase 2, Naidu Layout",Shanthi Pura,,"Bright homes, phase 2, Naidu Layout, Shanthi Pura, Bengaluru",99acres,U88269474,
B|basavagangotri layout kumbalgodu|kumbalgodu,building,1,99acres,"Basavagangotri Layout, Kumbalgodu",Kumbalgodu,,"Basavagangotri Layout, Kumbalgodu, Kumbalgodu, Bengaluru",99acres,F82539712,
B|bliss by fineline|rachenahalli,building,1,99acres,Bliss by Fineline,Rachenahalli,,"Bliss by Fineline, Rachenahalli, Bengaluru",99acres,K90684152,
B|sri gajanana homes|vagdevi layout,building,1,99acres,sri gajanana homes,Vagdevi Layout,,"sri gajanana homes, Vagdevi Layout, Bengaluru",99acres,X90658548,
B|ravi babu building|chinnapanahalli,building,1,99acres,ravi babu building,Chinnapanahalli,,"ravi babu building, Chinnapanahalli, Bengaluru",99acres,C90653140,
B|poojitha spaces|bhoganhalli,building,1,99acres,Poojitha spaces,Bhoganhalli,,"Poojitha spaces, Bhoganhalli, Bengaluru",99acres,Z90630292,
B|rvs brindavanam homes|manjunatha layout munnekollal,building,1,99acres,RVS Brindavanam homes,Manjunatha Layout Munnekollal,,"RVS Brindavanam homes, Manjunatha Layout Munnekollal, Bengaluru",99acres,S90597936,
B|da nex|bismillah nagar,building,1,99acres,da nex,Bismillah Nagar,,"da nex, Bismillah Nagar, Bengaluru",99acres,L90593114,
B|woodside park|carmelaram,building,1,99acres,Woodside Park,Carmelaram,,"Woodside Park, Carmelaram, Bengaluru",99acres,L90594208,
B|gr elite nest ambedkar nagar|whitefield,building,1,99acres,gr elite nest ambedkar nagar,Whitefield,,"gr elite nest ambedkar nagar, Whitefield, Bengaluru",99acres,K90575804,
B|aura residency|neeladri nagar,building,1,99acres,Aura Residency,Neeladri Nagar,,"Aura Residency, Neeladri Nagar, Bengaluru",99acres,P90520102,
B|on request|sinthan nagar,building,1,99acres,on request,Sinthan Nagar,,"on request, Sinthan Nagar, Bengaluru",99acres,L90546678,
B|reddy mansion|ramagondanahalli,building,1,99acres,Reddy Mansion,Ramagondanahalli,,"Reddy Mansion, Ramagondanahalli, Bengaluru",99acres,Y88001644,
B|kanthi residency 31a and 31b|bellandur,building,1,99acres,kanthi residency 31a and 31b,Bellandur,,"kanthi residency 31a and 31b, Bellandur, Bengaluru",99acres,N90493994,
B|gopalan atlantis|dodsworth layout,building,1,99acres,Gopalan Atlantis,Dodsworth Layout,,"Gopalan Atlantis, Dodsworth Layout, Bengaluru",99acres,T90484014,
B|home suite|r t nagar,building,1,99acres,Home suite,R T Nagar,,"Home suite, R T Nagar, Bengaluru",99acres,G90454540,
B|shambhu|sri venkateswara layout,building,1,99acres,shambhu,Sri Venkateswara Layout,,"shambhu, Sri Venkateswara Layout, Bengaluru",99acres,A90397874,
B|sudharshan layout|kodathi,building,1,99acres,Sudharshan Layout,Kodathi,,"Sudharshan Layout, Kodathi, Bengaluru",99acres,V90397172,
B|srinivasa nilaya|wilson garden,building,1,nobroker,Srinivasa Nilaya,Wilson Garden,"Lakkasandra Extension, near Akkayamma Devi Temple, Wilson Garden, bangalore","Srinivasa Nilaya, Wilson Garden, Bengaluru",nobroker,8a9f92d673cd3a7b0173cda4bcc834dd,
B|gallery garden apartmen|btm layout,building,1,nobroker,Gallery Garden Apartmen,BTM Layout,"maaruthi nagar ,Btm 1st stage, BTM Layout, bangalore","Gallery Garden Apartmen, BTM Layout, Bengaluru",nobroker,8aa9b6a39e256ff5019e261191674f85,
B|felix 64|btm 1st stage,building,1,nobroker,Felix 64,BTM 1st Stage,", Narayanappa Garden, 1st Stage, near Likhith Fashions, BTM 1st Stage, bangalore","Felix 64, BTM 1st Stage, Bengaluru",nobroker,8aa98dc79b789520019b792cd3853255,
B|prathibha nilaya|whitefield,building,1,nobroker,Prathibha Nilaya,Whitefield,"5th Cross Muthoot Finance Road Opposite HLRC WhiteField Main Road WhiteField , Whitefield, bangalore","Prathibha Nilaya, Whitefield, Bengaluru",nobroker,8a9fb9827afca976017afcd71334109c,
B|saptha giri nivas|whitefield,building,1,nobroker,Saptha Giri Nivas,Whitefield,"172, 9th Cross Rd, Hill Side Layout, Ambedkar Nagar, Whitefield, Bengaluru, Karnataka , Whitefield, bangalore","Saptha Giri Nivas, Whitefield, Bengaluru",nobroker,8a9f8f0393245629019324c2ea342aa6,
B|ram apartment|whitefield,building,1,nobroker,Ram Apartment,Whitefield,"Borewell Rd, , Near Manish Medicals, Whitefield, bangalore","Ram Apartment, Whitefield, Bengaluru",nobroker,ff80818169f5d5ec0169f6bef9cd55ad,
B|ananda nivas|sizzle it meadows,building,1,nobroker,Ananda Nivas,Sizzle IT Meadows,"Ananda Nivas (Sizzle IT Meadows Layout), Sizzle IT Meadows, bangalore","Ananda Nivas, Sizzle IT Meadows, Bengaluru",nobroker,8a9ff1828500a3e70185012d644c79d9,
B|sri nilayam|whitefield,building,1,nobroker,Sri Nilayam,Whitefield,"XP2C+RV6, Varthur Main Rd, Thubarahalli, Whitefield, Bengaluru, Karnataka 560066, Whitefield, bangalore","Sri Nilayam, Whitefield, Bengaluru",nobroker,8aa9cf589e05a574019e064324f646d8,
B|harikrupa hights|whitefield,building,1,nobroker,Harikrupa Hights,Whitefield,"Harikrupa Heights, Borewell Road, Whitefield, Whitefield, bangalore","Harikrupa Hights, Whitefield, Bengaluru",nobroker,8aa9a1e19c416d29019c42aa795d1363,
B|cozy living|electronic city,building,1,nobroker,Cozy Living,Electronic City,"Housing Layout, Phase II, near Sri Vinayaka PG for Gents, Electronic City, bangalore","Cozy Living, Electronic City, Bengaluru",nobroker,8a9fae839652debb0196532b155920b5,
B|sgd building 3|electronic city,building,1,nobroker,Sgd Building 3,Electronic City,"Bettadasanapura Main Rd, Doddathoguru, Doddathoguru, Electronics City Phase 1, Electronic City, Electronic City, bangalore","Sgd Building 3, Electronic City, Bengaluru",nobroker,8aa9ba8c9c08c794019c090bf2741a93,
B|jp elite|electronics city phase 1,building,1,nobroker,Jp Elite,Electronics City Phase 1,"J P ELITE near Sapthagiri Ratna Manju, Electronics City Phase 1, bangalore","Jp Elite, Electronics City Phase 1, Bengaluru",nobroker,8a9f8d84981beb0b01981c4e5de62a97,
B|konappana agrahara|electronic city,building,1,nobroker,Konappana Agrahara,Electronic City,"near 7days restaurant , Electronic City, bangalore","Konappana Agrahara, Electronic City, Bengaluru",nobroker,8a9f87869619e5f201961a0d7f441029,
B|sri sai balaji c|electronic city,building,1,nobroker,Sri Sai Balaji C,Electronic City,"14TH C Cross, Electronic City, bangalore","Sri Sai Balaji C, Electronic City, Bengaluru",nobroker,8aa9b2909b4e4fb8019b4e864c2a08b0,
B|bhagya nilayam|electronic city,building,1,nobroker,Bhagya Nilayam,Electronic City,"1st Main Rd near ,Bharat Heavy Electricals Limited, Electronic City, bangalore","Bhagya Nilayam, Electronic City, Bengaluru",nobroker,8a9feb838ae454e9018ae4f0ae7d005a,
B|eira apartment|electronic city phase 2,building,1,nobroker,Eira Apartment,Electronic city phase 2,"KIADB Industrial Area Plot No. 45- 47, First Main Rd, near Tech Mahindra Limited, Electronic city phase 2, bangalore","Eira Apartment, Electronic city phase 2, Bengaluru",nobroker,8a9f8b93981d41a401981d62c1da0d3f,
B|prp apartment|electronic city,building,1,nobroker,Prp Apartment,Electronic City,"4th cross Neeladri Nagar, Electronics City Phase 1,Near Reliance Digital, Electronic City, bangalore","Prp Apartment, Electronic City, Bengaluru",nobroker,8a9f8141723b4f2001723b729a840ee9,
B|avs stays|electronics city phase 1,building,1,nobroker,Avs Stays,Electronics City Phase 1,"Neeladri Nagar, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India, Electronics City Phase 1, bangalore","Avs Stays, Electronics City Phase 1, Bengaluru",nobroker,8aa9c7b19e3f2749019e3fc4d52e4dd9,
B|elegance enclave|electronic city,building,1,nobroker,Elegance Enclave,Electronic City,"Bettadasanapura Main Rd near Neo Elite Apartments, Electronic City, bangalore","Elegance Enclave, Electronic City, Bengaluru",nobroker,8a9f96038e93c0ae018e9416a3b63075,
B|standardlone building|electronic city,building,1,nobroker,Standardlone Building,Electronic City,"Neeladri Nagar, near MAA DURGA RESTAURATNT, Electronic City, bangalore","Standardlone Building, Electronic City, Bengaluru",nobroker,8a9f830391457fd801914596e1590a07,
B|manasa residency|electronics city phase 1,building,1,nobroker,Manasa Residency,Electronics City Phase 1,"Hulimangala Main Road, near SK Daisy Apartment, Electronics City Phase 1, bangalore","Manasa Residency, Electronics City Phase 1, Bengaluru",nobroker,8aa9a9c69ba1c83a019ba1d9fb3c0606,
A|stage 1 btm layout south,address,40,housing,,"Stage 1, BTM Layout","Stage 1, BTM Layout, South Bangalore, Bengaluru","Stage 1, BTM Layout, South Bangalore, Bengaluru",housing,13663347,
A|stage 2 btm layout 2nd stage south,address,5,housing,,"Stage 2, BTM Layout 2nd Stage","Stage 2, BTM Layout 2nd Stage, South Bangalore, Bengaluru","Stage 2, BTM Layout 2nd Stage, South Bangalore, Bengaluru",housing,16185012,
A|divine homes pragathi layout doddanekundi,address,4,housing,,"Pragathi Layout, Doddanekundi","Divine Homes, Pragathi Layout, Doddanekundi, Bangalore East, Bengaluru","Divine Homes, Pragathi Layout, Doddanekundi, Bangalore East, Bengaluru",housing,19174433,
A|sowparnika ashiyana koralur samethanahalli,address,4,housing,,"Koralur, Samethanahalli","Sowparnika Ashiyana, Koralur, Samethanahalli, Bangalore East, Bengaluru","Sowparnika Ashiyana, Koralur, Samethanahalli, Bangalore East, Bengaluru",housing,19851538,
A|sanjay nagar marathahalli,address,4,housing,,"Sanjay Nagar, Marathahalli","Sanjay Nagar, Marathahalli, Bangalore East, Bengaluru","Sanjay Nagar, Marathahalli, Bangalore East, Bengaluru",housing,20359732,
A|siddapura chikballapur district,address,4,housing,,"Siddapura, Chikballapur District","Siddapura, Chikballapur District, Bengaluru","Siddapura, Chikballapur District, Bengaluru",housing,20373678,
A|chandana kadubeesanahalli,address,4,housing,,"Chandana, Kadubeesanahalli","Chandana, Kadubeesanahalli, Bangalore East, Bengaluru","Chandana, Kadubeesanahalli, Bangalore East, Bengaluru",housing,20380199,
A|shiva stage 1 btm layout south,address,3,housing,,"BTM Layout, Bengaluru","Shiva, Stage 1, BTM Layout, South Bangalore, Bengaluru","Shiva, Stage 1, BTM Layout, South Bangalore, Bengaluru",housing,14764029,
A|phase i electronic city south,address,3,housing,,"Phase I, Electronic City","Phase I, Electronic City, South Bangalore, Bengaluru","Phase I, Electronic City, South Bangalore, Bengaluru",housing,16257768,
A|d mart stage 1 btm layout south,address,3,housing,,"Stage 1, BTM Layout","D mart, Stage 1, BTM Layout, South Bangalore, Bengaluru","D mart, Stage 1, BTM Layout, South Bangalore, Bengaluru",housing,16634633,
A|someshwara layout doddakannelli,address,3,housing,,"Someshwara Layout, Doddakannelli","Someshwara Layout, Doddakannelli, Bangalore East, Bengaluru","Someshwara Layout, Doddakannelli, Bangalore East, Bengaluru",housing,17840787,
A|stage 3 indira nagar old madras road,address,3,housing,,"Stage 3, Indira Nagar","Stage 3, Indira Nagar, Old Madras Road, Bengaluru","Stage 3, Indira Nagar, Old Madras Road, Bengaluru",housing,18812227,
A|v building stage 1 btm layout south,address,3,housing,,"Stage 1, BTM Layout","V building, Stage 1, BTM Layout, South Bangalore, Bengaluru","V building, Stage 1, BTM Layout, South Bangalore, Bengaluru",housing,19494235,
A|venkateshwara layout s g palya south,address,3,housing,,"Venkateshwara Layout, S.G. Palya","Venkateshwara Layout, S.G. Palya, South Bangalore, Bengaluru","Venkateshwara Layout, S.G. Palya, South Bangalore, Bengaluru",housing,19705601,
A|p building bharathi layout s g palya south,address,3,housing,,"Bharathi Layout, S.G. Palya","P building, Bharathi Layout, S.G. Palya, South Bangalore, Bengaluru","P building, Bharathi Layout, S.G. Palya, South Bangalore, Bengaluru",housing,19737349,
A|5th block koramangala south,address,3,housing,,"5th Block, Koramangala","5th Block, Koramangala, South Bangalore, Bengaluru","5th Block, Koramangala, South Bangalore, Bengaluru",housing,20273297,
A|nallurhalli whitefield,address,2,housing,,"Nallurhalli, Whitefield","Nallurhalli, Whitefield, Bangalore East, Bengaluru","Nallurhalli, Whitefield, Bangalore East, Bengaluru",housing,5978897,
A|brindavan nagar s g palya south,address,2,housing,,"Brindavan Nagar, S.G. Palya","Brindavan Nagar, S.G. Palya, South Bangalore, Bengaluru","Brindavan Nagar, S.G. Palya, South Bangalore, Bengaluru",housing,10905182,
A|ak colony adugodi central,address,2,housing,,"AK Colony, Adugodi","AK Colony, Adugodi, Central Bangalore, Bengaluru","AK Colony, Adugodi, Central Bangalore, Bengaluru",housing,13506564,
A|beml layout 6th stage brookefield,address,2,housing,,"BEML Layout 6th Stage, Brookefield","BEML Layout 6th Stage, Brookefield, Bangalore East, Bengaluru","BEML Layout 6th Stage, Brookefield, Bangalore East, Bengaluru",housing,16804083,
A|v homes akshaya vana akshayanagar south,address,2,housing,,"Akshaya Vana, Akshayanagar","V HOMES, Akshaya Vana, Akshayanagar, South Bangalore, Bengaluru","V HOMES, Akshaya Vana, Akshayanagar, South Bangalore, Bengaluru",housing,17644654,
A|a narayanapura mahadevapura,address,2,housing,,"A Narayanapura, Mahadevapura","A Narayanapura, Mahadevapura, Bangalore East, Bengaluru","A Narayanapura, Mahadevapura, Bangalore East, Bengaluru",housing,18039982,
A|meenakshi layout choodasandra south,address,2,housing,,"Choodasandra, Bengaluru","Meenakshi layout, Choodasandra, South Bangalore, Bengaluru","Meenakshi layout, Choodasandra, South Bangalore, Bengaluru",housing,18081864,
A|chandan stage 1 btm layout south,address,2,housing,,"Stage 1, BTM Layout","Chandan, Stage 1, BTM Layout, South Bangalore, Bengaluru","Chandan, Stage 1, BTM Layout, South Bangalore, Bengaluru",housing,19094070,
A|swarna residency pragathi layout doddanekundi,address,2,housing,,"Pragathi Layout, Doddanekundi","Swarna residency, Pragathi Layout, Doddanekundi, Bangalore East, Bengaluru","Swarna residency, Pragathi Layout, Doddanekundi, Bangalore East, Bengaluru",housing,19399942,
A|no brokerage hadosiddapura kodathi,address,2,housing,,"Hadosiddapura, Kodathi","NO BROKERAGE, Hadosiddapura, Kodathi, Bangalore East, Bengaluru","NO BROKERAGE, Hadosiddapura, Kodathi, Bangalore East, Bengaluru",housing,19472274,
A|hal 3rd stage new tippasandra,address,2,housing,,"HAL 3rd Stage, New Tippasandra","HAL 3rd Stage, New Tippasandra, Bangalore East, Bengaluru","HAL 3rd Stage, New Tippasandra, Bangalore East, Bengaluru",housing,19890169,
A|terracon doctors enclave chandapura south,address,2,housing,,"Terracon Doctors Enclave, Chandapura","Terracon Doctors Enclave, Chandapura, South Bangalore, Bengaluru","Terracon Doctors Enclave, Chandapura, South Bangalore, Bengaluru",housing,19919500,
A|kamadhenu residency whitefield 3g homes crimson layout kadugodi,address,2,housing,,"3G Homes Crimson Layout, Kadugodi","kamadhenu residency whitefield, 3G Homes Crimson Layout, Kadugodi, Bangalore East, Bengaluru","kamadhenu residency whitefield, 3G Homes Crimson Layout, Kadugodi, Bangalore East, Bengaluru",housing,19933032,
A|ekta living chandana kadubeesanahalli,address,2,housing,,"Chandana, Kadubeesanahalli","Ekta Living, Chandana, Kadubeesanahalli, Bangalore East, Bengaluru","Ekta Living, Chandana, Kadubeesanahalli, Bangalore East, Bengaluru",housing,20011020,
A|nagraju stage 1 btm layout south,address,2,housing,,"Stage 1, BTM Layout","Nagraju, Stage 1, BTM Layout, South Bangalore, Bengaluru","Nagraju, Stage 1, BTM Layout, South Bangalore, Bengaluru",housing,20081327,
A|ground floor homes mangammanapalya sector 7 hsr layout south,address,2,housing,,"Sector 7, HSR Layout","Ground floor homes Mangammanapalya, Sector 7, HSR Layout, South Bangalore, Bengaluru","Ground floor homes Mangammanapalya, Sector 7, HSR Layout, South Bangalore, Bengaluru",housing,20118833,
A|bharathi layout s g palya south,address,2,housing,,"Bharathi Layout, S.G. Palya","Bharathi Layout, S.G. Palya, South Bangalore, Bengaluru","Bharathi Layout, S.G. Palya, South Bangalore, Bengaluru",housing,20193398,
A|provident capella thirumalashettyhally,address,2,housing,,"Thirumalashettyhally, Bengaluru","Provident Capella, Thirumalashettyhally, Bangalore East, Bengaluru","Provident Capella, Thirumalashettyhally, Bangalore East, Bengaluru",housing,20214849,
A|adarsh gardens 1st phase jp nagar south,address,2,housing,,"1st Phase, JP Nagar","Adarsh Gardens, 1st Phase, JP Nagar, South Bangalore, Bengaluru","Adarsh Gardens, 1st Phase, JP Nagar, South Bangalore, Bengaluru",housing,20487915,
A|green bulding gunjur palya,address,1,housing,,"Gunjur Palya, Bengaluru","Green bulding, Gunjur Palya, Bangalore East, Bengaluru","Green bulding, Gunjur Palya, Bangalore East, Bengaluru",housing,5931635,
A|ittina sarva 1 bommanahalli south,address,1,housing,,"Bommanahalli, Bengaluru","Ittina Sarva 1, Bommanahalli, South Bangalore, Bengaluru","Ittina Sarva 1, Bommanahalli, South Bangalore, Bengaluru",housing,6887183,
A|malleswaram central,address,1,housing,,"Malleswaram, Bengaluru","Malleswaram, Central Bangalore, Bengaluru","Malleswaram, Central Bangalore, Bengaluru",housing,7894103,
A|no 10 g street coles road cleveland town frazer town robertson road,address,1,housing,,"Cleveland Town, Frazer Town","No 10 G Street Coles Road, Cleveland Town, Frazer Town, Robertson Road, Bengaluru","No 10 G Street Coles Road, Cleveland Town, Frazer Town, Robertson Road, Bengaluru",housing,8095589,
A|appatement swarj rooad full furnished stage 1 s g palya south,address,1,housing,,"Stage 1, S.G. Palya","Appatement swarj rooad Full furnished, Stage 1, S.G. Palya, South Bangalore, Bengaluru","Appatement swarj rooad Full furnished, Stage 1, S.G. Palya, South Bangalore, Bengaluru",housing,8725873,
A|elshaddai guddahatti,address,1,housing,,"Guddahatti, Bengaluru","Elshaddai, Guddahatti, Bengaluru","Elshaddai, Guddahatti, Bengaluru",housing,12701782,
